id,name,genre,artists,album,popularity,duration_ms,explicit,track_name_raw,artist_name_raw,track_name_norm,artist_name_norm,track_artist_key
7kr3xZk4yb3YSZ4VFtg2Qt,Acoustic,acoustic,Billy Raffoul,1975,58,172199,False,Acoustic,Billy Raffoul,acoustic,billy raffoul,acoustic | billy raffoul
1kJygfS4eoVziBBI93MSYp,Acoustic,acoustic,Billy Raffoul,A Few More Hours at YYZ,57,172202,False,Acoustic,Billy Raffoul,acoustic,billy raffoul,acoustic | billy raffoul
6lynns69p4zTCRxmmiSY1x,Here Comes the Sun - Acoustic,acoustic,"Molly Hocking, Bailey Rushlow",Here Comes the Sun (Acoustic),42,144786,False,Here Comes the Sun - Acoustic,"Molly Hocking, Bailey Rushlow",here comes the sun acoustic,molly hocking bailey rushlow,here comes the sun acoustic | molly hocking bailey rushlow
1RC9slv335IfLce5vt9KTW,Acoustic #3,acoustic,The Goo Goo Dolls,Dizzy up the Girl,46,116573,False,Acoustic #3,The Goo Goo Dolls,acoustic 3,the goo goo dolls,acoustic 3 | the goo goo dolls
5o9L8xBuILoVjLECSBi7Vo,My Love Mine All Mine - Acoustic Instrumental,acoustic,"Guus Dielissen, Casper Esmann",My Love Mine All Mine (Acoustic Instrumental),33,133922,False,My Love Mine All Mine - Acoustic Instrumental,"Guus Dielissen, Casper Esmann",my love mine all mine acoustic instrumental,guus dielissen casper esmann,my love mine all mine acoustic instrumental | guus dielissen casper esmann
742ZnC1OgUGIScdzXEy5ui,Acoustic,acoustic,Ling tosite sigure,#4,14,238146,False,Acoustic,Ling tosite sigure,acoustic,ling tosite sigure,acoustic | ling tosite sigure
3vpJdk93GzerZnlou6Ua0z,Beautiful Things - Acoustic,acoustic,Benson Boone,Daydream,0,201248,False,Beautiful Things - Acoustic,Benson Boone,beautiful things acoustic,benson boone,beautiful things acoustic | benson boone
42qGA2116mkpSAaxzQfjEf,Landslide,acoustic,"Guus Dielissen, Andrew Gialanella",Landslide,29,199222,False,Landslide,"Guus Dielissen, Andrew Gialanella",landslide,guus dielissen andrew gialanella,landslide | guus dielissen andrew gialanella
0OHHcoyrWnkVukc911UeZd,Acoustic,acoustic,Sonido de Agua en Bambu,Agua,15,129250,False,Acoustic,Sonido de Agua en Bambu,acoustic,sonido de agua en bambu,acoustic | sonido de agua en bambu
64zEnxASl3epPAIH4MsmSw,Acoustic Energy Vibrations,acoustic,"Healing Solfeggio Frequencies, Harmony Touch",528: Mind & Body Healing,45,118331,False,Acoustic Energy Vibrations,"Healing Solfeggio Frequencies, Harmony Touch",acoustic energy vibrations,healing solfeggio frequencies harmony touch,acoustic energy vibrations | healing solfeggio frequencies harmony touch
1okbqCnEzl9GUddnjNkb19,Little Lies,acoustic,Roses & Frey,Little Lies,39,197851,False,Little Lies,Roses & Frey,little lies,roses frey,little lies | roses frey
5Ix5RkjIO1r3gL0NH2KpqK,Acoustic,acoustic,The Re-Stoned,Plasma,8,356870,False,Acoustic,The Re-Stoned,acoustic,the restoned,acoustic | the restoned
0i49QlMEbbbax1gZe2qQzm,Too Good At Goodbyes - Acoustic,acoustic,Sam Smith,Hear The Pride,0,220095,False,Too Good At Goodbyes - Acoustic,Sam Smith,too good at goodbyes acoustic,sam smith,too good at goodbyes acoustic | sam smith
5hzQ0nwJMFTXbNZmjioxJ1,The One (Acoustic Cover),acoustic,The Moon Loungers,The One (Acoustic Cover),25,241115,False,The One (Acoustic Cover),The Moon Loungers,the one,the moon loungers,the one | the moon loungers
