genre_bucket,track_count,total_streams,avg_popularity,streams_share,historical_genre_revival_count,historical_genre_revival_percentage,revived_title_count,avg_revival_strength,median_revival_strength,avg_time_span,avg_decades_count,max_revival_strength,streams_rank,historical_rank,rank_gap
Blues,1.0,370068639.0,74.0,0.011956198651397321,690,1.9300000000000002,580,9.502142339848168,6.8679744089702925,22.348275862068967,2.35,69.2917334445813,8.0,10.0,-2.0
Classical/Opera/Orchestral,,,,,3978,10.33,4011,13.172009744599887,7.110696122978827,27.452754923959112,2.5138369483919223,295.37876868605053,,4.0,
Country,2.0,524873176.0,79.5,0.016957632443547394,2319,6.5,1541,11.416092280640221,7.783640596221253,23.00064892926671,2.425697598961713,299.57322735539907,6.0,6.0,0.0
Electronic/Dance,8.0,11158021193.0,72.75,0.36049398376610164,892,2.5,367,9.058048940751664,6.734591659972948,19.585831062670298,2.343324250681199,89.32974623202122,2.0,9.0,-7.0
Folk/Bluegrass,1.0,399686758.0,65.0,0.012913102525774867,405,1.1300000000000001,246,7.896494937085686,6.182084906716632,21.43089430894309,2.268292682926829,47.00480365792416,7.0,13.0,-6.0
Gospel/Christian,,,,,3770,10.49,2132,12.583944416136648,7.694848072384611,24.183395872420263,2.5117260787992497,254.2814953528295,,5.0,
Hip-Hop/Rap,,,,,571,1.57,209,8.921014069583656,6.3561076606958915,18.196172248803826,2.2583732057416266,58.056805542509586,,12.0,
Holiday/Children/Novelty,1.0,52722996.0,68.0,0.0017033775555156576,387,1.08,267,14.953656356458701,8.49964003216865,30.254681647940075,2.662921348314607,308.9046579722771,9.0,14.0,-5.0
Jazz,,,,,4926,13.8,2859,12.612898866257947,7.8636512654486515,26.481287163343826,2.5473941937740467,150.14726130609424,,3.0,
Latin/Regional,,,,,283,0.78,145,9.015511952250726,6.089044875446846,19.868965517241378,2.282758620689655,94.36997742590188,,16.0,
Other,15.0,11629221171.0,65.33333333333333,0.3757175394738363,2075,4.33,1403,8.704245018788189,6.270988431858299,24.052031361368496,2.2679971489665003,259.5709828212308,1.0,7.0,-6.0
Popular/Pop,6.0,787151583.0,69.66666666666667,0.025431338144570166,7229,20.1,4240,13.410525897368931,7.4547199493640015,26.474292452830188,2.486556603773585,323.2441329952328,5.0,1.0,4.0
R&B/Soul/Funk,,,,,922,2.59,218,8.919591602537508,6.516193076042964,18.541284403669724,2.243119266055046,42.5832111199868,,8.0,
Reggae,2.0,1067687375.0,68.0,0.03449490447929835,341,0.98,94,7.498045798993046,5.8888779583328805,19.74468085106383,2.1702127659574466,40.31231241714096,4.0,15.0,-11.0
Rock,3.0,4962598753.0,75.0,0.16033192295995832,6194,17.35,3046,13.038107201722307,8.317766166719343,21.5741956664478,2.4937623112278398,322.51670446104987,3.0,2.0,1.0
Soundtrack/Stage/Screen,,,,,672,1.86,465,9.978742349251824,7.052721049232323,26.81290322580645,2.423655913978495,79.60344009850208,,11.0,
